model,mean_reward,std_reward,mission_success_rate,mean_targets_detected,team_destruction_rate,mean_decision_time,time_to_threshold_0.9,time_to_threshold_0.8,time_to_threshold_0.7,total_performance,n_episodes
RS-DRL(rho=0.3),0.44766666666666666,0.2167899649174032,0.4666666666666667,0.7,0.1,0.03396628333333333,-1,-1,-1,0.0,30
Baseline-DQN,0.44766666666666666,0.2167899649174032,0.4666666666666667,0.7,0.1,0.03396628333333333,-1,-1,-1,0.0,30
