rho,n_seeds,tp_mean,tp_std,final_reward_mean,final_reward_std
0.7,3,-4.204555522070991,0.15053517577375886,-4.789999961853027,0.0
0.5,3,-4.310999965667724,0.0,-4.789999961853027,0.0
0.3,3,-4.310999965667724,0.0,-4.789999961853027,0.0
0.1,3,-4.310999965667724,0.0,-4.789999961853027,0.0
